time,hat{D_{q}},theta,e_{theta},tau_{q}
23,3.8156237803135,0.265197834552431,-0.003398446753281,22.1270427107811
23.1,4.05916783796945,0.265185024416855,-0.003385636617705,16.5962547063828
23.2,4.16363197448667,0.265091948916027,-0.003292561116878,18.4528663754463
23.3,4.27637433409401,0.264867393848107,-0.003068006048958,13.8386443257332
23.4,4.3214492810003,0.264770571139721,-0.002971183340572,9.10365134477615
23.5,4.41930405070896,0.264493539627502,-0.002694151828353,6.48383051156998
23.6,4.3549511918286,0.264390680146131,-0.002591292346981,10.7657752931118
23.7,4.27910854090717,0.264261061235895,-0.002461673436746,8.63988548517227
23.8,4.20621180578776,0.264089004839939,-0.002289617040789,11.5128822624683
23.9,4.02636661189634,0.263920368662726,-0.002120980863576,11.1897692084312
24,3.85327530882311,0.26373110239226,-0.001931714593111,15.971514582634
24.1,3.61773782390572,0.263538817228478,-0.001739429429329,14.0349864959717
24.2,3.39658078673144,0.263374509666841,-0.001575121867692,10.7655674219131
24.3,3.18313185550676,0.263068619595761,-0.001269231796612,22.1732631325722
24.4,2.91423895068602,0.26298787980379,-0.00118849200464,23.2268944382668
24.5,2.70902198142546,0.262888415221634,-0.001089027422485,33.3859294652939
24.6,2.47654353674283,0.262780611785187,-0.000981223986037,33.3150833845139
24.7,2.1475726184856,0.262645876182677,-0.000846488383528,34.6181213855743
24.8,1.85032420544979,0.262445271155904,-0.000645883356755,39.7215515375137
24.9,1.7106138596679,0.262189652823219,-0.000390265024069,37.1468782424927
25,1.46430007060611,0.26193738987519,-0.000138002076041,37.5013440847397
25.1,1.2743324477094,0.261655729474369,0.00014365832478,43.6976194381714
25.2,1.13893437222858,0.261375954961306,0.000423432837844,42.4616515636444
25.3,1.0472180281247,0.261067352228788,0.000732035570361,45.1141148805618
25.4,0.907100084645563,0.26070254207271,0.00109684572644,46.3065832853317
25.5,0.839512830878461,0.260336916924853,0.001462470874296,49.2968499660492
25.6,0.759822701342251,0.260050580217389,0.00174880758176,42.6628053188324
25.7,0.735482168869862,0.259763418103825,0.002035969695324,45.1602190732956
25.8,0.776359180865584,0.259298475958407,0.002500911840742,41.2657678127289
25.9,0.785347843383765,0.258862192063879,0.002937195735271,39.9605959653854
26,0.833140843044794,0.258420707703776,0.003378680095374,42.9069936275482
26.1,0.920244779722235,0.257953619098425,0.003845768700725,47.8428393602371
26.2,1.02450013899562,0.257567932551238,0.004231455247912,48.4012722969055
26.3,1.07614429953766,0.25721711276298,0.00458227503617,51.0658919811249
26.4,1.22167553231561,0.256969921541295,0.004829466257854,50.3308475017548
26.5,1.32382977902207,0.256784822549919,0.00501456524923,50.1164376735687
26.6,1.37636754846618,0.256814745771543,0.004984642027607,49.3953049182892
26.7,1.49633777256868,0.257049577707019,0.004749810092131,46.5880185365677
26.8,1.57536284129638,0.257409251098492,0.004390136700657,46.8381971120834
26.9,1.65898602277658,0.257887337499428,0.003912050299721,48.6124306917191
27,1.6832116763982,0.258674730928133,0.003124656871017,53.6073207855225
27.1,1.68644593268317,0.259402709491254,0.002396678307895,48.7368881702423
27.2,1.62877001614764,0.260097457191633,0.001701930607517,46.63967192173
27.3,1.5745807425395,0.260852459530991,0.000946928268159,39.3119722604752
27.4,1.49552203290771,0.26174419913806,5.51886610896668E-05,33.6599171161652
27.5,1.34894527419295,0.262715077700389,-0.00091568990124,31.995302438736
